SiteID,Site name,CollectionID,Depth (cm),AC sample,Glass vial,Vacutainer,Gas bag,Notes
BY1,,BY1A,40,,,x,,
BY1,,BY1A,40,,,x,,
BY1,,BY1A,40,,x,,x,
BY1,,BY1B,20,,,x,,
BY1,,BY1B,20,,,x,,
BY1,,BY1B,20,,x,,x,
BY1,,F7,,x,,,,
BY1,,F8,,x,,,,
BY1,,F9,,x,,,,
BY1,,F10,,x,,,,
BY1,,F11,,x,,,,
BY1,,F12,,x,,,,
BY2,,BY2A,20,,,x,,water @40 cm
BY2,,BY2B,20,,,x,,water @40 cm
BY2,,BY2A,20,,x,,x,water @40 cm
BY2,,F13,,x,,,,
BY2,,F14,,x,,,,
BY2,,F15,,x,,,,
BY2,,F16,,x,,,,
BY3A,,BY3AA,40,,,x,,
BY3A,,BY3AA,40,,,x,,
BY3A,,BY3AA1,40,,,x,,
BY3A,,BY3AA2,40,,,x,,
BY3A,,BY3AA,40,,x,,x,
BY3A,,BY3AB,20,,,x,,
BY3A,,BY3AB,20,,,x,,
BY3A,,BY3AB,20,,x,,x,
BY3A,,F17,,x,,,,
BY3A,,F18,,x,,,,
BY3A,,F19,,x,,,,
BY3A,,F20,,x,,,,
BY4,,BY4A1,40,,,x,,
BY4,,BY4A2,40,,,x,,
BY4,,BY4A,40,,x,,x,
BY4,,BY4B1,20,,,x,,
BY4,,BY4B2,20,,,x,,
BY4,,BY4B,20,,x,,x,
BY4,,F21,,x,,,,
BY4,,F22,,x,,,,
BY4,,F23,,x,,,,
BY4,,F24,,x,,,,
BY4,,F25,,x,,,,
BY4,,F26,,x,,,,
BY5,,BY5A1,40,,,x,,
BY5,,BY5A2,40,,,x,,
BY5,,BY5A,40,,x,,x,
BY5,,BY5B1,20,,,x,,
BY5,,BY5B2,20,,,x,,
BY5,,BY5B,20,,x,,x,
CCT,,CCT1A,40,,,x,,
CCT,,CCT1A,40,,x,,x,
CCT,,CCT1B,20,,,x,,
CCT,,CCT1B,20,,x,,x,
CCT,,F1,,x,,,,
CCT,,F2,,x,,,,
CCT,,F3,,x,,,,
CCT,,F4,,x,,,,
CCT,,F5,,x,,,,
CCT,,F6,,x,,,,
ML,,ML1A1,40,,,x,,
ML,,ML1A2,40,,,x,,
ML,,ML1A,40,,x,,x,
ML,,ML1B1,20,,,x,,
ML,,ML1B2,20,,,x,,
ML,,ML1B,20,,x,,x,
ML,,FML1,,x,,,,
ML,,FML2,,x,,,,
ML,,FML3,,x,,,,
ML,,FML4,,x,,,,
ML,,FML5,,x,,,,
ML,,FML6,,x,,,,
SUN2,,SUN2A,40,,,x,,
SUN2,,SUN2A,40,,,,x,
SUN2,,SUN2B,20,,,x,,
SUN2,,F1SUN,,x,,,,
SUN2,,F2SUN,,x,,,,
SUN2,,F3SUN,,x,,,,
SUN2,,F4SUN,,x,,,,
